model,strategy_short,total_tokens,total_api_cost,avg_cosine_similarity,avg_rouge_l_f1,avg_self_grade,avg_latency_ms,cosine_per_dollar,sample_count
mistral-large-official,Default,57779.0,0.249522,0.523558,0.165089,2.697674,18794.027949,90.224563,43
mistral-large-official,Self-Consistency_N3,447589.0,1.49311,0.538863,0.132712,2.906977,56116.185732,15.51868,43
mistral-large-official,Self-Consistency_N5,727497.0,2.457798,0.541286,0.132973,3.0,91465.398644,9.469979,43
mistral-large-official,Self-Discover,118218.0,0.514804,0.526018,0.103921,2.837209,42248.711331,43.936684,43
o3-mini,Default,85078.0,0.304865,0.547095,0.160848,3.255814,14592.658364,77.165555,43
o3-mini,Self-Consistency_N3,538613.0,1.481329,0.555889,0.117689,3.348837,49518.837635,16.136338,43
o3-mini,Self-Consistency_N5,884557.0,2.478318,0.549265,0.117931,3.372093,96449.737089,9.530003,43
o3-mini,Self-Discover,151835.0,0.531335,0.553157,0.088149,3.372093,20755.933429,44.766006,43
o4-mini,Default,77209.0,0.270241,0.489771,0.168422,3.27907,12164.948408,77.930911,43
o4-mini,Self-Consistency_N3,411451.0,1.075828,0.493923,0.149095,3.44186,41732.47838,19.74174,43
o4-mini,Self-Consistency_N5,658883.0,1.731605,0.489179,0.159745,3.372093,65717.720525,12.147511,43
o4-mini,Self-Discover,131319.0,0.441065,0.492844,0.099434,3.418605,23254.99101,48.048025,43
palmyra-fin-default,Default,51477.0,0.472236,0.537638,0.165231,2.767442,13408.402748,48.955271,43
palmyra-fin-default,Self-Consistency_N3,388652.0,2.85725,0.545481,0.133039,2.767442,57764.030229,8.209187,43
palmyra-fin-default,Self-Consistency_N5,626506.0,4.646833,0.546049,0.133636,2.813953,94912.934309,5.052926,43
palmyra-fin-default,Self-Discover,106273.0,0.986211,0.538136,0.101244,2.744186,28035.79901,23.463382,43
